Pick,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,QBs in Final 9,RBs in Final 9,WRs in Final 9,TEs in Final 9,Average Points
6th,WR,WR,RB,RB,WR,RB,WR,TE,RB,2,1,1,1,75.1
6th,RB,RB,TE,WR,RB,RB,WR,WR,QB,1,2,2,0,75.1
12th,TE,WR,WR,WR,RB,RB,QB,RB,WR,0,3,2,0,75.1
12th,RB,RB,TE,WR,RB,RB,WR,WR,QB,1,2,2,0,75.1
12th,RB,WR,RB,WR,WR,WR,WR,RB,RB,2,1,0,2,75.1
4th,WR,RB,RB,WR,WR,RB,TE,QB,RB,1,1,2,1,75.1
12th,RB,WR,TE,WR,RB,QB,RB,WR,WR,0,2,3,0,75.09924857
12th,RB,WR,WR,RB,TE,WR,RB,WR,RB,2,1,2,0,75.09833571
12th,RB,WR,RB,WR,TE,QB,WR,WR,RB,0,2,3,0,75.09727571
9th,RB,QB,WR,RB,TE,RB,RB,WR,WR,0,2,3,0,75.07437571
9th,RB,TE,WR,WR,RB,RB,WR,QB,RB,0,2,3,0,75.06962857
12th,RB,WR,WR,TE,RB,QB,RB,RB,WR,0,1,4,0,75.05375857
12th,RB,TE,WR,RB,WR,WR,WR,RB,RB,2,2,1,0,75.04410714
9th,RB,QB,WR,RB,WR,TE,RB,WR,RB,0,2,3,0,75.03296714
12th,WR,WR,TE,RB,WR,RB,RB,RB,WR,2,1,2,0,75
4th,TE,WR,WR,WR,RB,RB,QB,RB,WR,0,3,2,0,75
12th,WR,WR,WR,RB,RB,RB,RB,WR,RB,2,0,0,3,75
6th,TE,RB,RB,WR,QB,RB,WR,WR,WR,0,3,2,0,75
1st,RB,WR,RB,WR,RB,RB,WR,WR,WR,2,1,0,2,75
12th,RB,RB,WR,WR,WR,WR,WR,RB,RB,2,1,0,2,75
9th,RB,RB,RB,WR,WR,RB,WR,QB,TE,0,1,4,0,75
6th,WR,RB,WR,RB,RB,TE,WR,QB,WR,0,3,2,0,75
6th,WR,RB,RB,RB,TE,WR,WR,WR,WR,2,2,1,0,75
12th,RB,RB,WR,TE,WR,WR,WR,WR,RB,2,2,1,0,75
12th,RB,RB,WR,WR,WR,WR,WR,TE,QB,1,2,1,1,75
1st,TE,WR,RB,WR,RB,WR,QB,WR,RB,0,3,2,0,75
4th,RB,RB,TE,WR,RB,RB,WR,WR,QB,1,2,2,0,75
6th,WR,WR,RB,TE,RB,RB,RB,RB,RB,2,0,3,0,75
9th,RB,QB,WR,WR,TE,WR,RB,RB,WR,0,3,2,0,74.94016429
12th,RB,WR,RB,TE,WR,WR,RB,WR,RB,2,1,2,0,74.92801714
9th,RB,QB,WR,WR,TE,WR,WR,RB,RB,0,3,2,0,74.91571714
4th,WR,RB,RB,RB,TE,WR,WR,WR,WR,2,2,1,0,74.9
12th,RB,RB,WR,WR,RB,QB,WR,WR,TE,0,2,2,1,74.9
9th,WR,WR,RB,RB,QB,WR,TE,WR,RB,1,2,2,0,74.9
1st,TE,RB,RB,QB,WR,WR,WR,WR,RB,0,2,3,0,74.9
6th,RB,WR,WR,RB,RB,WR,WR,WR,WR,2,1,0,2,74.9
12th,TE,RB,QB,RB,RB,WR,WR,WR,WR,1,1,3,0,74.9
1st,WR,RB,WR,RB,WR,RB,WR,RB,TE,2,1,1,1,74.9
9th,RB,TE,WR,WR,QB,WR,RB,WR,RB,0,2,3,0,74.9
6th,WR,WR,RB,RB,RB,RB,RB,WR,WR,2,1,0,2,74.9
1st,WR,WR,RB,WR,RB,RB,WR,TE,WR,2,2,0,1,74.9
9th,WR,WR,WR,WR,QB,RB,TE,RB,RB,0,4,1,0,74.9
9th,TE,WR,WR,RB,QB,RB,RB,RB,WR,0,3,2,0,74.9
12th,WR,WR,RB,TE,RB,RB,RB,RB,RB,2,1,2,0,74.9
1st,WR,RB,RB,RB,WR,RB,WR,TE,RB,2,1,1,1,74.9
4th,RB,WR,WR,RB,RB,WR,WR,WR,WR,2,1,0,2,74.9
9th,RB,QB,WR,RB,TE,RB,WR,WR,WR,0,3,2,0,74.89773286
9th,RB,QB,WR,TE,RB,WR,RB,RB,WR,0,3,2,0,74.89586857
9th,RB,QB,WR,TE,RB,RB,WR,RB,WR,0,3,2,0,74.88526
12th,RB,WR,TE,RB,WR,RB,WR,RB,WR,2,1,2,0,74.85459857
12th,RB,QB,WR,TE,WR,RB,WR,RB,WR,0,2,3,0,74.82802571
9th,RB,QB,WR,WR,RB,TE,RB,WR,WR,0,2,3,0,74.80282143
9th,WR,RB,RB,RB,WR,RB,WR,TE,RB,2,1,1,1,74.8
6th,WR,WR,RB,RB,RB,WR,WR,WR,TE,2,2,0,1,74.8
4th,WR,RB,WR,RB,WR,RB,WR,RB,TE,2,1,1,1,74.8
6th,WR,WR,RB,TE,RB,RB,RB,RB,RB,2,1,2,0,74.8
12th,WR,WR,RB,RB,RB,WR,WR,WR,TE,2,2,0,1,74.8
1st,WR,WR,TE,RB,WR,RB,RB,RB,WR,2,1,2,0,74.8
12th,WR,TE,WR,WR,WR,RB,RB,RB,QB,1,3,1,0,74.8
12th,WR,WR,RB,WR,RB,RB,WR,TE,WR,2,2,0,1,74.8
9th,WR,TE,RB,RB,WR,WR,WR,QB,RB,0,3,2,0,74.8
1st,WR,WR,WR,RB,RB,RB,RB,RB,WR,2,0,1,2,74.8
12th,RB,RB,RB,WR,WR,WR,WR,WR,RB,2,0,0,3,74.8
9th,RB,TE,WR,RB,QB,WR,RB,WR,RB,0,2,3,0,74.79876286
12th,RB,WR,WR,TE,RB,WR,RB,WR,RB,2,1,2,0,74.77730143
9th,RB,WR,RB,WR,TE,WR,RB,WR,RB,2,1,2,0,74.75472429
12th,RB,WR,RB,WR,TE,WR,RB,WR,RB,2,1,2,0,74.74742
9th,RB,WR,RB,TE,WR,RB,QB,WR,WR,0,3,2,0,74.74143714
12th,RB,WR,WR,RB,TE,WR,WR,WR,RB,2,2,1,0,74.74140143
9th,WR,RB,WR,RB,QB,WR,TE,RB,WR,0,3,2,0,74.7
9th,RB,WR,WR,WR,RB,WR,WR,WR,RB,2,1,0,2,74.7
9th,TE,RB,WR,RB,WR,WR,WR,QB,RB,0,3,2,0,74.7
4th,WR,WR,RB,RB,RB,TE,WR,WR,WR,2,3,0,0,74.7
9th,TE,WR,RB,RB,WR,WR,RB,WR,QB,1,2,1,1,74.7
4th,TE,WR,QB,WR,WR,WR,RB,RB,RB,0,4,1,0,74.7
12th,RB,RB,WR,WR,WR,WR,WR,RB,RB,2,0,1,2,74.7
9th,RB,QB,WR,WR,RB,RB,WR,TE,RB,0,2,3,0,74.66044
9th,RB,QB,WR,RB,WR,TE,WR,RB,WR,0,2,3,0,74.65538857
12th,RB,WR,WR,TE,RB,WR,WR,WR,RB,2,2,1,0,74.65501714
9th,RB,QB,WR,RB,TE,WR,WR,RB,RB,0,2,3,0,74.63602286
12th,RB,TE,WR,RB,RB,QB,WR,RB,WR,0,2,3,0,74.62514286
9th,RB,QB,WR,RB,RB,TE,RB,WR,RB,0,0,5,0,74.61946857
1st,WR,WR,RB,RB,TE,RB,WR,WR,WR,2,3,0,0,74.6
4th,WR,WR,RB,RB,RB,WR,RB,RB,WR,2,0,0,3,74.6
6th,TE,WR,RB,RB,RB,QB,RB,RB,WR,0,0,5,0,74.6
12th,WR,WR,RB,TE,RB,RB,RB,RB,RB,2,0,3,0,74.6
12th,TE,WR,RB,WR,RB,WR,QB,WR,RB,0,3,2,0,74.6
12th,WR,WR,RB,RB,RB,RB,RB,WR,WR,2,1,0,2,74.6
12th,RB,TE,WR,WR,RB,QB,RB,WR,WR,0,2,3,0,74.53023143
6th,WR,WR,TE,RB,WR,RB,RB,RB,WR,2,1,2,0,74.5
6th,WR,WR,WR,RB,RB,RB,RB,RB,WR,2,0,1,2,74.5
1st,WR,RB,TE,RB,RB,RB,QB,WR,WR,0,2,3,0,74.5
1st,WR,WR,QB,RB,RB,TE,RB,RB,RB,0,1,4,0,74.5
9th,WR,WR,RB,RB,TE,RB,WR,WR,WR,2,3,0,0,74.5
9th,TE,RB,RB,WR,QB,RB,WR,WR,WR,0,3,2,0,74.5
9th,TE,RB,QB,RB,RB,WR,WR,WR,WR,1,1,3,0,74.5
12th,RB,RB,WR,WR,RB,WR,RB,WR,RB,2,0,0,3,74.5
12th,RB,WR,WR,TE,RB,QB,WR,WR,RB,0,3,2,0,74.46365429
4th,WR,TE,WR,WR,WR,RB,RB,RB,QB,1,3,1,0,74.4
6th,WR,WR,RB,WR,RB,RB,WR,TE,WR,2,2,0,1,74.4
4th,WR,WR,RB,TE,RB,RB,RB,RB,RB,2,1,2,0,74.4
9th,TE,RB,WR,WR,QB,WR,RB,RB,WR,0,3,2,0,74.4
9th,WR,WR,RB,RB,RB,WR,RB,RB,WR,2,0,0,3,74.4
4th,WR,WR,RB,RB,RB,RB,RB,WR,WR,2,1,0,2,74.4
6th,TE,WR,RB,RB,WR,WR,RB,WR,QB,1,2,1,1,74.4
9th,RB,QB,WR,WR,RB,RB,TE,WR,RB,0,2,3,0,74.3797
6th,RB,WR,RB,WR,TE,RB,RB,WR,QB,0,0,5,0,74.37395571
9th,RB,QB,WR,WR,RB,TE,WR,WR,RB,0,2,3,0,74.33975
9th,RB,WR,WR,RB,RB,WR,WR,WR,WR,2,1,0,2,74.3
12th,TE,WR,QB,WR,WR,RB,RB,WR,WR,0,4,1,0,74.3
9th,WR,WR,RB,TE,RB,RB,RB,RB,RB,2,1,2,0,74.3
12th,WR,WR,WR,RB,RB,TE,RB,RB,RB,2,1,2,0,74.3
9th,WR,WR,RB,RB,RB,RB,RB,WR,WR,2,1,0,2,74.3
9th,WR,WR,WR,RB,RB,RB,RB,RB,WR,2,0,1,2,74.3
4th,WR,WR,RB,RB,RB,WR,WR,WR,TE,2,2,0,1,74.3
12th,RB,QB,WR,WR,RB,TE,WR,WR,RB,0,2,3,0,74.28305
12th,RB,TE,WR,RB,RB,QB,RB,WR,RB,0,0,5,0,74.22295857
4th,WR,RB,RB,RB,WR,RB,WR,TE,RB,2,1,1,1,74.2
4th,WR,WR,WR,RB,RB,RB,RB,WR,RB,2,0,0,3,74.2
4th,WR,WR,WR,RB,RB,RB,RB,RB,WR,2,0,1,2,74.2
6th,WR,WR,WR,RB,RB,TE,RB,RB,RB,2,1,2,0,74.2
4th,RB,RB,WR,TE,WR,WR,WR,QB,RB,0,2,2,1,74.2
9th,WR,RB,WR,RB,RB,TE,WR,QB,WR,0,3,2,0,74.2
1st,WR,WR,RB,RB,RB,WR,RB,RB,WR,2,0,0,3,74.2
12th,RB,RB,WR,WR,WR,WR,WR,WR,RB,2,1,0,2,74.2
4th,WR,WR,TE,WR,WR,WR,RB,QB,RB,1,4,0,0,74.1
4th,WR,WR,RB,TE,RB,RB,RB,RB,RB,2,0,3,0,74.1
12th,RB,QB,WR,WR,WR,RB,WR,RB,TE,0,2,3,0,74.09687143
12th,RB,TE,WR,RB,WR,RB,WR,RB,WR,2,1,2,0,74.02135714
12th,RB,WR,WR,RB,RB,WR,WR,WR,WR,2,1,0,2,74
12th,WR,WR,RB,RB,RB,TE,WR,WR,WR,2,3,0,0,74
9th,WR,WR,RB,RB,RB,WR,WR,WR,TE,2,2,0,1,74
6th,TE,RB,QB,RB,RB,WR,WR,WR,WR,1,1,3,0,74
6th,WR,WR,RB,RB,RB,TE,WR,WR,WR,2,3,0,0,74
4th,TE,WR,RB,RB,WR,WR,RB,WR,QB,1,2,1,1,74
12th,RB,QB,WR,RB,RB,WR,TE,WR,RB,0,1,4,0,73.98297143
9th,RB,TE,WR,RB,WR,WR,WR,RB,RB,2,2,1,0,73.95296
9th,RB,QB,WR,RB,RB,WR,TE,WR,RB,0,1,4,0,73.92513
12th,RB,QB,WR,RB,RB,TE,RB,WR,RB,0,0,5,0,73.91648286
9th,RB,TE,WR,RB,WR,RB,WR,RB,WR,2,1,2,0,73.90136
4th,TE,WR,QB,WR,WR,RB,RB,WR,WR,0,4,1,0,73.9
9th,WR,RB,WR,RB,WR,RB,WR,RB,TE,2,1,1,1,73.9
12th,TE,WR,RB,RB,WR,WR,RB,WR,QB,1,2,1,1,73.9
9th,RB,WR,WR,RB,WR,RB,QB,TE,WR,0,2,2,1,73.9
4th,WR,WR,RB,WR,RB,RB,WR,TE,WR,2,2,0,1,73.9
4th,WR,WR,TE,RB,WR,RB,RB,RB,WR,2,1,2,0,73.9
4th,WR,WR,RB,RB,WR,RB,WR,TE,RB,2,1,1,1,73.8
6th,WR,RB,RB,RB,WR,RB,WR,TE,RB,2,1,1,1,73.8
1st,WR,WR,RB,RB,RB,RB,RB,WR,WR,2,1,0,2,73.8
9th,WR,TE,WR,WR,WR,RB,RB,RB,QB,1,3,1,0,73.7
1st,WR,WR,RB,RB,RB,WR,WR,WR,TE,2,2,0,1,73.7
9th,WR,WR,RB,TE,RB,RB,RB,RB,RB,2,0,3,0,73.7
9th,RB,TE,RB,RB,WR,WR,QB,WR,WR,1,2,2,0,73.7
12th,RB,QB,WR,WR,RB,RB,TE,WR,RB,0,2,3,0,73.67835429
12th,RB,QB,WR,WR,RB,TE,RB,WR,WR,0,2,3,0,73.65007429
6th,RB,WR,TE,WR,WR,RB,WR,RB,QB,0,2,3,0,73.61901
4th,RB,WR,RB,WR,RB,RB,WR,WR,WR,2,1,0,2,73.6
9th,WR,RB,RB,RB,TE,WR,WR,WR,WR,2,2,1,0,73.6
12th,TE,WR,RB,RB,RB,QB,RB,RB,WR,0,0,5,0,73.6
9th,WR,WR,RB,RB,RB,TE,WR,WR,WR,2,3,0,0,73.6
9th,RB,WR,WR,TE,RB,WR,QB,WR,RB,0,3,2,0,73.58207429
9th,WR,WR,WR,RB,RB,TE,RB,RB,RB,2,1,2,0,73.5
12th,WR,WR,WR,RB,RB,RB,RB,RB,WR,2,0,1,2,73.5
12th,RB,WR,WR,WR,RB,WR,WR,WR,RB,2,1,0,2,73.5
9th,RB,WR,TE,WR,RB,RB,QB,WR,RB,0,2,3,0,73.43929
9th,RB,WR,RB,WR,TE,RB,QB,WR,WR,0,3,2,0,73.42014429
9th,RB,WR,RB,TE,WR,RB,RB,WR,QB,0,0,5,0,73.38889286
9th,RB,WR,WR,TE,RB,WR,QB,RB,WR,0,3,2,0,73.37773286
12th,WR,WR,WR,WR,WR,TE,RB,RB,QB,0,4,0,1,73.3
1st,WR,RB,RB,RB,TE,WR,WR,WR,WR,2,2,1,0,73.3
9th,RB,WR,RB,TE,WR,WR,QB,RB,RB,0,1,4,0,73.29759286
9th,RB,WR,WR,RB,TE,WR,QB,RB,WR,0,3,2,0,73.29347714
9th,RB,QB,WR,RB,RB,TE,WR,RB,WR,0,2,3,0,73.23865286
6th,WR,RB,WR,RB,TE,WR,RB,WR,QB,0,3,2,0,73.2
6th,RB,TE,WR,WR,WR,RB,WR,RB,QB,0,2,3,0,73.16795
6th,RB,WR,RB,TE,WR,RB,RB,WR,QB,0,0,5,0,73.14322
1st,WR,WR,RB,RB,RB,TE,WR,WR,WR,2,3,0,0,73.1
4th,WR,WR,WR,WR,WR,TE,RB,RB,QB,0,4,0,1,73.1
9th,RB,WR,RB,WR,TE,RB,QB,RB,WR,0,2,3,0,73.08959
4th,RB,WR,WR,WR,TE,RB,RB,QB,WR,0,2,3,0,73.07685571
9th,RB,WR,WR,TE,RB,RB,QB,WR,RB,0,1,4,0,73.05482
4th,RB,TE,WR,WR,RB,RB,WR,QB,RB,0,2,3,0,73.03989714
12th,WR,RB,WR,RB,TE,WR,RB,WR,QB,0,3,2,0,73
4th,RB,TE,WR,WR,WR,RB,WR,RB,QB,0,2,3,0,72.96137714
9th,WR,RB,TE,RB,RB,RB,QB,WR,WR,0,2,3,0,72.9
12th,RB,WR,RB,WR,RB,RB,WR,WR,WR,2,1,0,2,72.9
9th,RB,WR,WR,TE,RB,RB,QB,RB,WR,0,1,4,0,72.85832714
4th,WR,WR,RB,RB,TE,RB,WR,WR,WR,2,3,0,0,72.8
9th,RB,WR,TE,WR,WR,RB,WR,RB,QB,0,2,3,0,72.74590571
9th,RB,WR,RB,WR,TE,WR,QB,RB,RB,0,1,4,0,72.74295714
4th,RB,WR,WR,TE,RB,RB,WR,QB,WR,0,2,3,0,72.72370857
1st,TE,RB,QB,RB,RB,WR,WR,WR,WR,1,1,3,0,72.7
4th,WR,RB,WR,RB,RB,TE,WR,QB,WR,0,3,2,0,72.7
6th,WR,WR,WR,WR,WR,TE,RB,RB,QB,0,4,0,1,72.6
9th,RB,RB,RB,WR,WR,WR,QB,RB,TE,0,1,3,1,72.6
9th,RB,WR,WR,RB,TE,WR,QB,WR,RB,0,3,2,0,72.56289571
9th,RB,WR,TE,RB,RB,WR,QB,WR,RB,0,1,4,0,72.51179
9th,RB,RB,WR,WR,WR,TE,QB,RB,RB,0,2,3,0,72.5
9th,RB,WR,WR,WR,WR,WR,QB,WR,TE,0,5,0,0,72.5
9th,RB,WR,RB,WR,TE,RB,QB,WR,RB,0,2,3,0,72.5
9th,RB,WR,RB,TE,WR,RB,QB,RB,WR,0,2,3,0,72.48862
9th,RB,WR,RB,WR,TE,RB,RB,WR,QB,0,0,5,0,72.47745429
4th,WR,RB,WR,RB,TE,WR,RB,WR,QB,0,3,2,0,72.4
9th,WR,RB,WR,RB,TE,WR,RB,WR,QB,0,3,2,0,72.3
4th,RB,WR,WR,TE,WR,RB,RB,QB,WR,0,2,3,0,72.27890429
4th,WR,WR,WR,WR,RB,RB,RB,QB,TE,0,3,1,1,72.2
9th,WR,RB,WR,WR,WR,RB,QB,WR,RB,0,2,1,2,72.2
4th,RB,WR,WR,RB,TE,RB,WR,QB,WR,0,2,3,0,72.16717571
9th,RB,WR,WR,RB,TE,RB,QB,WR,RB,0,1,4,0,72.11126286
12th,RB,WR,TE,WR,WR,RB,WR,RB,QB,0,2,3,0,72.06966143
4th,RB,WR,RB,TE,WR,RB,RB,WR,QB,0,0,5,0,72.01242857
9th,RB,TE,WR,WR,WR,WR,QB,RB,RB,0,3,2,0,72
9th,WR,WR,WR,TE,RB,RB,QB,RB,TE,0,2,2,1,72
9th,WR,WR,WR,WR,TE,RB,QB,RB,RB,0,4,1,0,71.9
9th,RB,WR,WR,RB,TE,RB,QB,RB,WR,0,1,4,0,71.83182714
12th,RB,TE,WR,WR,WR,RB,WR,RB,QB,0,2,3,0,71.80451857
4th,TE,RB,WR,RB,WR,WR,WR,QB,RB,0,3,2,0,71.8
4th,RB,WR,RB,WR,TE,RB,RB,WR,QB,0,0,5,0,71.73369
9th,WR,WR,WR,RB,TE,RB,QB,WR,RB,0,3,2,0,71.7
4th,WR,WR,WR,RB,RB,RB,TE,QB,WR,0,3,1,1,71.7
9th,WR,RB,RB,TE,RB,WR,QB,WR,WR,0,3,2,0,71.7
12th,RB,WR,RB,WR,TE,RB,RB,WR,QB,0,0,5,0,71.65885
4th,RB,WR,TE,WR,WR,RB,WR,RB,QB,0,2,3,0,71.63880571
4th,WR,TE,RB,RB,WR,WR,WR,QB,RB,0,3,2,0,71.5
4th,RB,RB,RB,WR,WR,RB,WR,QB,TE,0,1,4,0,71.5
9th,RB,TE,WR,WR,WR,RB,WR,RB,QB,0,2,3,0,71.48540714
9th,RB,TE,WR,WR,RB,RB,QB,WR,RB,0,2,3,0,71.17379429
4th,RB,WR,TE,WR,RB,RB,WR,QB,RB,0,2,3,0,70.97373286
12th,RB,WR,RB,TE,WR,RB,RB,WR,QB,0,0,5,0,70.95847143
9th,RB,TE,WR,RB,RB,WR,QB,WR,RB,0,1,4,0,70.78620429
9th,WR,WR,WR,WR,WR,TE,RB,RB,QB,0,4,0,1,70.6
9th,TE,WR,RB,WR,RB,WR,QB,WR,RB,0,3,2,0,70.6
9th,TE,WR,WR,WR,RB,RB,QB,RB,WR,0,3,2,0,70.4
4th,RB,RB,RB,RB,RB,RB,RB,RB,RB,1,1,2,1,66.1
9th,RB,RB,RB,RB,RB,RB,RB,RB,RB,1,1,2,1,65.4
12th,RB,RB,RB,RB,RB,RB,RB,RB,RB,1,1,2,1,64.9
1st,RB,RB,RB,RB,RB,RB,RB,RB,RB,1,1,2,1,64.9
6th,RB,RB,RB,RB,RB,RB,RB,RB,RB,1,1,2,1,64.4
